record_id,authority_id,authority_name,authority_type,parent_authority_id,parent_authority_name,administrative_level,city,district,state,department_id,department_name,department_type,service_id,service_name,service_description,issue_category_id,issue_category,issue_subcategory,jurisdiction_type,zone,ward,local_jurisdiction,responsibility_scope,responsibility_status,contact_name,contact_designation,contact_phone,contact_email,office_address,official_portal,grievance_portal,escalation_level_1,escalation_level_2,escalation_level_3,operating_hours,source_id,source_url,source_title,source_page_or_section,source_date,source_type,source_confidence,verification_status,last_verified,notes
AUTH-011,AUTH-LMC,Lucknow Municipal Corporation,MUNICIPAL_CORPORATION,AUTH-GOUP-UDD,"Department of Urban Development, Government of Uttar Pradesh",DEPARTMENT,Lucknow,Lucknow,Uttar Pradesh,DEPT-LMC-CIVIL,Civil Engineering Department,DRAINAGE,SRV-LMC-WATERLOGGING-PUMPING,Waterlogging Mitigation & Emergency Dewatering,"Emergency pumping, drain outfall clearance, and relief operations for rainwater accumulation on streets.",WATERLOGGING,Drainage,Waterlogging on Public Street,LOCALITY,ALL,ALL,"Low-lying Roads, Intersections, and Settlements","Deployment of mobile dewatering pumps, clearing choked outfalls, and relieving inundation on public roads.",VERIFIED,Shri Mahesh Chandra Verma,Chief Engineer (Civil/General),8810721504,nnlko@nic.in,"Civil Engineering Wing, LMC Headquarters, Lalbagh, Lucknow-226001",https://lmc.up.nic.in,https://lucknow.everythingcivic.com/citizen/createissue,Zonal Executive Engineer (Civil),Zonal Officer,Chief Engineer (Civil),24x7 Emergency Response during Monsoon,SRC-005,https://lmc.up.nic.in/acts.aspx,"The Uttar Pradesh Municipal Corporations Act, 1959",Chapter 10 Section 114,1959-01-01,OFFICIAL_DOCUMENT,HIGH,VERIFIED,2026-09-11,Coordinated with Lucknow Smart City ICCC Control Room during heavy rainfall.
AUTH-012,AUTH-LKO-JALSANSTHAN,Lucknow Jal Sansthan,PUBLIC_UTILITY,AUTH-GOUP-UDD,"Department of Urban Development, Government of Uttar Pradesh",CITY,Lucknow,Lucknow,Uttar Pradesh,DEPT-JS-WATER,Water Distribution & Maintenance Wing,WATER,SRV-JS-LEAK-REPAIR,Potable Water Distribution Pipeline Leakage Repair,Repair and sealing of leaks in underground and surface municipal drinking water distribution pipelines.,WATER_LEAKAGE,Water,Water Distribution Pipe Leakage,CITY,ALL,ALL,Lucknow Urban Water Supply Network,"Operation, maintenance, and leak rectifications on municipal drinking water supply feeder mains and distribution pipelines.",VERIFIED,Shri Ram Kumar,General Manager (Mahaprabandhak),0522-2622617,nnlko@nic.in,"Jal Sansthan Head Office, Lalbagh / Aishbagh Water Works, Lucknow-226004",https://lmc.up.nic.in/procedure.aspx,https://jansunwai.up.nic.in,Junior Engineer (Water) / Assistant Engineer (Water),Executive Engineer (Jal Sansthan) of Zone,General Manager (Jal Sansthan),24x7 Jal Sansthan Control Room (0522-2622617 / 1533),SRC-011,https://lmc.up.nic.in/procedure.aspx,"The Uttar Pradesh Water Supply and Sewerage Act, 1975",Section 18 & 24 (Water Supply Functions),1975-08-23,OFFICIAL_DOCUMENT,HIGH,VERIFIED,2026-09-11,Mayor of Lucknow serves as ex-officio Chairman; complaints also accepted through LMC 1533.
AUTH-013,AUTH-LKO-JALSANSTHAN,Lucknow Jal Sansthan,PUBLIC_UTILITY,AUTH-GOUP-UDD,"Department of Urban Development, Government of Uttar Pradesh",CITY,Lucknow,Lucknow,Uttar Pradesh,DEPT-JS-WATER,Water Distribution & Maintenance Wing,WATER,SRV-JS-BURST-PIPE,Drinking Water Main / Service Pipe Burst Repair,Emergency replacement and heavy joint welding for major ruptured water mains and broken distribution lines.,BROKEN_PIPELINE,Water,Burst Water Main / Severed Distribution Pipe,LOCALITY,ALL,ALL,Lucknow Urban Potable Pipeline Network,"Emergency excavation, pipeline isolation, replacement, and restoration of burst drinking water pipes.",VERIFIED,Shri Ram Kumar,General Manager (Mahaprabandhak),0522-2622617,nnlko@nic.in,"Jal Sansthan Head Office, Lalbagh / Aishbagh Water Works, Lucknow-226004",https://lmc.up.nic.in/procedure.aspx,https://jansunwai.up.nic.in,Assistant Engineer (Water),Executive Engineer (Jal Sansthan) of Zone,General Manager (Jal Sansthan),24x7 Emergency Pipeline Squad,SRC-011,https://lmc.up.nic.in/procedure.aspx,"The Uttar Pradesh Water Supply and Sewerage Act, 1975",Section 24 (Maintenance & Operations),1975-08-23,OFFICIAL_DOCUMENT,HIGH,VERIFIED,2026-09-11,Requires coordination with LMC Civil Wing for road cutting and reinstatement.
AUTH-014,AUTH-LKO-JALSANSTHAN,Lucknow Jal Sansthan,PUBLIC_UTILITY,AUTH-GOUP-UDD,"Department of Urban Development, Government of Uttar Pradesh",CITY,Lucknow,Lucknow,Uttar Pradesh,DEPT-JS-SEWER,Sewerage Operations & Maintenance Wing,SEWER,SRV-JS-SEWER-CLEARANCE,Sewer Line Clearance & Manhole Overflow Redressal,"Clearing choked sewer lines, unblocking underground sewage conduits, and abating manhole overflow.",SEWER_OVERFLOW,Sewer,Overflowing Sewer Line / Surging Manhole,LOCALITY,ALL,ALL,Municipal Underground Sewerage Network,"Operation and routine maintenance of municipal sewer reticulation, suction jetting, and clearing sewer surcharges.",VERIFIED,Shri Ram Kumar,General Manager (Mahaprabandhak),0522-2622617,nnlko@nic.in,"Jal Sansthan Head Office, Lalbagh / Aishbagh Water Works, Lucknow-226004",https://lmc.up.nic.in/procedure.aspx,https://jansunwai.up.nic.in,Junior Engineer (Sewer) / Jetting Machine Operator,Executive Engineer (Jal Sansthan) of Zone,General Manager (Jal Sansthan),Daily Operations 07:00 - 19:00; Emergency 24x7,SRC-011,https://lmc.up.nic.in/procedure.aspx,"The Uttar Pradesh Water Supply and Sewerage Act, 1975",Section 24 (Sewerage Services),1975-08-23,OFFICIAL_DOCUMENT,HIGH,VERIFIED,2026-09-11,Super sucker and high-pressure jetting machines deployed across zones.
AUTH-015,AUTH-UPPWD,"Public Works Department, Uttar Pradesh",STATE_DEPARTMENT,AUTH-GOUP,Government of Uttar Pradesh,DISTRICT,Lucknow,Lucknow,Uttar Pradesh,DEPT-PWD-LKO-CIRCLE,Lucknow Circle (Provincial Division),ROADS,SRV-PWD-ROAD-REPAIR,State Highway & Major District Road Maintenance,"Repairing potholes, structural failures, and bitumen deterioration on PWD State Highways and Major District Roads.",ROAD_DAMAGE,Road,Major Road Damage / PWD Arterial Road Potholes,ROAD,DISTRICT,NOT_APPLICABLE,"Designated PWD Corridors, State Highways and MDRs","Maintenance and capital reconstruction of arterial state highways, major district roads (MDRs), and other district roads (ODRs) in Lucknow.",VERIFIED,Shri Anil Kumar Dubey,Chief Engineer (HQ-1) / Web Info Manager,0522-2236496,cehq1-pwd-up@nic.in,"UP PWD Headquarters, 96 Mahatma Gandhi Marg, Hazratganj, Lucknow-226001",https://uppwd.gov.in,https://jansunwai.up.nic.in,Assistant Engineer (PWD Provincial Division),Executive Engineer (Provincial Division PWD Lucknow),Superintending Engineer (Lucknow Circle PWD),Office Hours 10:00 - 17:00,SRC-007,https://uppwd.gov.in,"UP PWD Citizen Charter, Role, Functions & Directory","Role, Functions and Organization Structure",2024-09-05,OFFICIAL_WEBSITE,HIGH,VERIFIED,2026-09-11,LMC has no maintenance authority on PWD roads; GIS spatial layer routes these issues to UP PWD.
AUTH-016,AUTH-MVVNL,Madhyanchal Vidyut Vitran Nigam Limited,PUBLIC_UTILITY,AUTH-UPPCL,Uttar Pradesh Power Corporation Limited,DISTRICT,Lucknow,Lucknow,Uttar Pradesh,DEPT-MVVNL-LESA,Lucknow Electricity Supply Administration (LESA),ELECTRICAL,SRV-MVVNL-POWER-SUPPLY,Electricity Distribution & Streetlight Power Circuit Maintenance,"Restoring electricity supply to public lighting circuits, repairing distribution transformers, and fixing tripped power lines.",POWER_OUTAGE,Electrical,Area Power Supply Failure / Streetlight Circuit Tripped,LOCALITY,ALL,ALL,33/11kV Distribution Network and Substation Feeders,"Distribution and retail supply of electricity in Lucknow urban and rural supply zones, including power feeding streetlighting control panels.",VERIFIED,Managing Director MVVNL,Managing Director,0522-2208737,1912@mvvnl.org,"MVVNL Head Office, 4-A Gokhale Marg, Lucknow-226001",https://www.mvvnl.in,https://1912.uppcl.org,Junior Engineer (LESA Substation),Sub-Divisional Officer (SDO LESA),Executive Engineer (Distribution Division LESA),24x7 Consumer Call Centre (1912),SRC-008,https://www.mvvnl.in,"MVVNL Corporate Overview, Contact Directory & Consumer Services",Contact Directory & About MVVNL,2024-07-13,OFFICIAL_WEBSITE,HIGH,VERIFIED,2026-09-11,Responsible for power delivery up to the meter/pole. Excludes luminaire bulb maintenance.
AUTH-017,AUTH-MVVNL,Madhyanchal Vidyut Vitran Nigam Limited,PUBLIC_UTILITY,AUTH-UPPCL,Uttar Pradesh Power Corporation Limited,DISTRICT,Lucknow,Lucknow,Uttar Pradesh,DEPT-MVVNL-LESA,Lucknow Electricity Supply Administration (LESA),ELECTRICAL,SRV-MVVNL-LINE-MAINTENANCE,Overhead Distribution Line & Electrical Pole Maintenance,"Replacement of leaning/damaged utility poles, restringing snapped LT/HT conductors, and eliminating public electrical hazards.",ELECTRICAL_INFRASTRUCTURE,Electrical,Damaged Electrical Pole / Dangerous Snapped Wire,LOCALITY,ALL,ALL,Distribution Lines and Poles across Lucknow,"Ensuring structural safety of electricity distribution poles, stays, overhead lines, and distribution transformer substations.",VERIFIED,Managing Director MVVNL,Managing Director,0522-2208737,1912@mvvnl.org,"MVVNL Head Office, 4-A Gokhale Marg, Lucknow-226001",https://www.mvvnl.in,https://1912.uppcl.org,Junior Engineer (LESA Line Maintenance),Sub-Divisional Officer (SDO LESA),Executive Engineer (Distribution Division LESA),24x7 Emergency Breakdown Service (1912),SRC-008,https://www.mvvnl.in,"MVVNL Corporate Overview, Contact Directory & Consumer Services",Consumer Safety & Breakdown Guidelines,2024-07-13,OFFICIAL_WEBSITE,HIGH,VERIFIED,2026-09-11,"Critical public safety issue. Even if streetlight is mounted on pole, pole replacement belongs to MVVNL."
AUTH-018,AUTH-UPJN-URBAN,Uttar Pradesh Jal Nigam (Urban),PUBLIC_UTILITY,AUTH-GOUP-UDD,"Department of Urban Development, Government of Uttar Pradesh",STATE,Lucknow,Lucknow,Uttar Pradesh,DEPT-UPJN-CONSTR,Capital Projects & Construction Wing,WATER,SRV-UPJN-CAPITAL-WORKS,Major Trunk Sewer & Water Augmentation Scheme Construction,"Planning, designing, and constructing Sewage Treatment Plants (STPs), Water Treatment Plants (WTPs), and trunk mains.",SEWER_INFRASTRUCTURE,Sewer,Major Trunk Sewer Construction / STP Defect,CITY,ALL,ALL,Capital Water & Sewer Infrastructure Schemes,"Capital scheme execution under AMRUT, SBM 2.0, and Namami Gange. Does not handle routine consumer pipe leaks.",VERIFIED,Managing Director UP Jal Nigam,Managing Director (Urban),0522-2626395,md@upjn.org,"UP Jal Nigam Head Office, 6 Rana Pratap Marg, Hazratganj, Lucknow-226001",http://jn.upsdc.gov.in,https://jansunwai.up.nic.in,Executive Engineer (Construction Division UPJN),Superintending Engineer (UP Jal Nigam),Chief Engineer (UP Jal Nigam Urban),Office Hours 10:00 - 17:00,SRC-009,http://jn.upsdc.gov.in,UP Jal Nigam (Urban) Organization Mandate & Project Portfolio,"Role, Functions & Responsibilities",2026-08-31,OFFICIAL_WEBSITE,HIGH,VERIFIED,2026-09-11,"Once schemes are completed, O&M is handed over to Lucknow Jal Sansthan."
AUTH-019,AUTH-LDA,Lucknow Development Authority,DEVELOPMENT_AUTHORITY,AUTH-GOUP-HUPD,"Housing and Urban Planning Department, Government of Uttar Pradesh",CITY,Lucknow,Lucknow,Uttar Pradesh,DEPT-LDA-ENG,Engineering Division,ROADS,SRV-LDA-SECTOR-MAINT,Civic Infrastructure Maintenance in Un-transferred Sectors,"Road maintenance, drainage repairs, and civic upkeep in planned LDA layouts prior to formal municipal handover to LMC.",ROAD_DAMAGE,Road,Road Damage in Un-transferred LDA Sector,LOCALITY,NOT_APPLICABLE,NOT_APPLICABLE,"LDA Schemes (e.g., Basant Kunj, CG City, Gomti Nagar Extension Sectors)","Construction and interim maintenance of roads, stormwater drains, and streetlights in LDA developed sectors before gazetted municipal transfer.",PARTIALLY_VERIFIED,Shri Prathmesh Kumar,Vice Chairman LDA,0522-2307868,vc@ldaonline.in,"Lucknow Development Authority Headquarters, Vipin Khand, Gomti Nagar, Lucknow-226010",https://ldaonline.co.in,https://jansunwai.up.nic.in,Assistant Engineer (LDA Engineering Division),Executive Engineer (LDA Zone),Chief Engineer (LDA),Office Hours 10:00 - 17:00,SRC-012,https://lucknow.nic.in/who-is-who/,"The Uttar Pradesh Urban Planning and Development Act, 1973",Section 15 & LDA Leadership Setup,1973-09-02,OFFICIAL_DOCUMENT,MEDIUM,VERIFIED,2026-09-11,Jurisdiction applies to development sectors where final municipal maintenance handover resolution has not yet been passed by LMC.
AUTH-020,AUTH-LMC,Lucknow Municipal Corporation,MUNICIPAL_CORPORATION,AUTH-GOUP-UDD,"Department of Urban Development, Government of Uttar Pradesh",DEPARTMENT,Lucknow,Lucknow,Uttar Pradesh,DEPT-LMC-VET,Animal Welfare Department,OTHER,SRV-LMC-ANIMAL-CONTROL,Stray Cattle Impounding & Animal Carcass Removal,"Catching and impounding stray cattle from roads, managing Kanha Upwan cowshed, and lifting dead animal carcasses.",ANIMAL_NUISANCE,Sanitation,Stray Cattle Traffic Hazard / Dead Animal Carcass,CITY,ALL,ALL,Public Streets and Municipal Thoroughfares,"Control of stray cattle causing road hazards, impounding in municipal cattle pounds, and rapid removal of dead animal carcasses.",VERIFIED,Dr. Abhinav Verma,Veterinary Welfare Officer (Pashu Chikitsa Kalyan Adhikari),8810729191,nnlko@nic.in,"Animal Welfare Wing, LMC Headquarters, Lalbagh, Lucknow-226001",https://lmc.up.nic.in,https://lucknow.everythingcivic.com/citizen/createissue,Veterinary Inspector / Cattle Catching Squad Leader,Veterinary Welfare Officer,Additional Municipal Commissioner,24x7 Carcass Lifting Helpline via 1533,SRC-002,https://lmc.up.nic.in/pdf/DoorbhasSuchi.pdf,LMC Doorbhas Suchi (Telephone Directory of Officials),Item 16 (Pashu Chikitsa Kalyan Adhikari),2024-08-01,OFFICIAL_DOCUMENT,HIGH,VERIFIED,2026-09-11,Key road safety factor preventing stray cattle traffic accidents.
AUTH-021,AUTH-LMC,Lucknow Municipal Corporation,MUNICIPAL_CORPORATION,AUTH-GOUP-UDD,"Department of Urban Development, Government of Uttar Pradesh",ZONE,Lucknow,Lucknow,Uttar Pradesh,DEPT-LMC-CIVIL-Z1,Civil Engineering Division (Zone 1),ROADS,SRV-LMC-ZONAL-ROADS-Z1,Zonal Municipal Road and Drain Maintenance (Zone 1),"Field execution of pothole filling, patch repairs, and stormwater drain clearing in Zone 1.",POTHOLE,Road,Pothole in Zone 1,ZONE,Zone-1,ALL,"Zone 1 Wards (Hazratganj, Raj Bhavan, Narhi, etc.)",Supervision and execution of civil engineering repairs on municipal streets within Zone 1.,VERIFIED,Shri Atul Mishra,Executive Engineer (Zone-1 & Zone-4),8810721522,nnlko@nic.in,"Zone 1 Office, Lalbagh, Lucknow-226001",https://lmc.up.nic.in,https://lucknow.everythingcivic.com/citizen/createissue,Assistant Engineer (Zone 1),Executive Engineer (Zone 1),Chief Engineer (Civil),Office Hours 10:00 - 17:00,SRC-002,https://lmc.up.nic.in/pdf/DoorbhasSuchi.pdf,LMC Doorbhas Suchi (Telephone Directory of Officials),Item 28 (Executive Engineer Zone 1 & 4),2024-08-01,OFFICIAL_DOCUMENT,HIGH,VERIFIED,2026-09-11,Zonal Officer Zone-1 is Shri Om Prakash Singh (8874241500).
AUTH-022,AUTH-LMC,Lucknow Municipal Corporation,MUNICIPAL_CORPORATION,AUTH-GOUP-UDD,"Department of Urban Development, Government of Uttar Pradesh",ZONE,Lucknow,Lucknow,Uttar Pradesh,DEPT-LMC-CIVIL-Z2,Civil Engineering Division (Zone 2),ROADS,SRV-LMC-ZONAL-ROADS-Z2,Zonal Municipal Road and Drain Maintenance (Zone 2),"Field execution of pothole filling, patch repairs, and stormwater drain clearing in Zone 2.",POTHOLE,Road,Pothole in Zone 2,ZONE,Zone-2,ALL,"Zone 2 Wards (Aishbagh, Kundari Rakabganj, Motinagar, etc.)",Supervision and execution of civil engineering repairs on municipal streets within Zone 2.,VERIFIED,Shri Devendra Dhiman,Executive Engineer (Zone-2),8004626599,nnlko@nic.in,"Zone 2 Office, Aishbagh, Lucknow",https://lmc.up.nic.in,https://lucknow.everythingcivic.com/citizen/createissue,Assistant Engineer (Zone 2),Executive Engineer (Zone 2),Chief Engineer (Civil),Office Hours 10:00 - 17:00,SRC-002,https://lmc.up.nic.in/pdf/DoorbhasSuchi.pdf,LMC Doorbhas Suchi (Telephone Directory of Officials),Item 29 (Executive Engineer Zone 2),2024-08-01,OFFICIAL_DOCUMENT,HIGH,VERIFIED,2026-09-11,Zonal Officer Zone-2 is Shri Manoj Yadav (8318813463).
AUTH-023,AUTH-LMC,Lucknow Municipal Corporation,MUNICIPAL_CORPORATION,AUTH-GOUP-UDD,"Department of Urban Development, Government of Uttar Pradesh",ZONE,Lucknow,Lucknow,Uttar Pradesh,DEPT-LMC-CIVIL-Z3,Civil Engineering Division (Zone 3),ROADS,SRV-LMC-ZONAL-ROADS-Z3,Zonal Municipal Road and Drain Maintenance (Zone 3),"Field execution of pothole filling, patch repairs, and stormwater drain clearing in Zone 3.",POTHOLE,Road,Pothole in Zone 3,ZONE,Zone-3,ALL,"Zone 3 Wards (Aliganj, Mahanagar, Nishatganj, Vikas Nagar, etc.)",Supervision and execution of civil engineering repairs on municipal streets within Zone 3.,VERIFIED,Shri Najmi Muzaffar,Executive Engineer (Zone-3),8960958949,nnlko@nic.in,"Zone 3 Office, Sector E Aliganj, Lucknow",https://lmc.up.nic.in,https://lucknow.everythingcivic.com/citizen/createissue,Assistant Engineer (Zone 3),Executive Engineer (Zone 3),Chief Engineer (Civil),Office Hours 10:00 - 17:00,SRC-002,https://lmc.up.nic.in/pdf/DoorbhasSuchi.pdf,LMC Doorbhas Suchi (Telephone Directory of Officials),Item 30 (Executive Engineer Zone 3),2024-08-01,OFFICIAL_DOCUMENT,HIGH,VERIFIED,2026-09-11,Zonal Officer Zone-3 is Shri Ajit Rai (8528907375).
AUTH-024,AUTH-LMC,Lucknow Municipal Corporation,MUNICIPAL_CORPORATION,AUTH-GOUP-UDD,"Department of Urban Development, Government of Uttar Pradesh",ZONE,Lucknow,Lucknow,Uttar Pradesh,DEPT-LMC-CIVIL-Z4,Civil Engineering Division (Zone 4),ROADS,SRV-LMC-ZONAL-ROADS-Z4,Zonal Municipal Road and Drain Maintenance (Zone 4),"Field execution of pothole filling, patch repairs, and stormwater drain clearing in Zone 4.",POTHOLE,Road,Pothole in Zone 4,ZONE,Zone-4,ALL,"Zone 4 Wards (Gomti Nagar, Indira Nagar, Vibhuti Khand, etc.)",Supervision and execution of civil engineering repairs on municipal streets within Zone 4.,VERIFIED,Shri Atul Mishra,Executive Engineer (Zone-1 & Zone-4),8810721522,nnlko@nic.in,"Zone 4 Office, Gomti Nagar, Lucknow",https://lmc.up.nic.in,https://lucknow.everythingcivic.com/citizen/createissue,Assistant Engineer (Zone 4),Executive Engineer (Zone 4),Chief Engineer (Civil),Office Hours 10:00 - 17:00,SRC-002,https://lmc.up.nic.in/pdf/DoorbhasSuchi.pdf,LMC Doorbhas Suchi (Telephone Directory of Officials),Item 28 (Executive Engineer Zone 1 & 4),2024-08-01,OFFICIAL_DOCUMENT,HIGH,VERIFIED,2026-09-11,Zonal Officer Zone-4 is Sushri Shilpa Kumari (8810721513).
AUTH-025,AUTH-LMC,Lucknow Municipal Corporation,MUNICIPAL_CORPORATION,AUTH-GOUP-UDD,"Department of Urban Development, Government of Uttar Pradesh",ZONE,Lucknow,Lucknow,Uttar Pradesh,DEPT-LMC-CIVIL-Z5,Civil Engineering Division (Zone 5),ROADS,SRV-LMC-ZONAL-ROADS-Z5,Zonal Municipal Road and Drain Maintenance (Zone 5),"Field execution of pothole filling, patch repairs, and stormwater drain clearing in Zone 5.",POTHOLE,Road,Pothole in Zone 5,ZONE,Zone-5,ALL,"Zone 5 Wards (Alambagh, Singar Nagar, Sardarnagar, etc.)",Supervision and execution of civil engineering repairs on municipal streets within Zone 5.,VERIFIED,Shri Rajiv Sharma,Executive Engineer in Charge (Zone-5),8810721544,nnlko@nic.in,"Zone 5 Office, Alambagh, Lucknow",https://lmc.up.nic.in,https://lucknow.everythingcivic.com/citizen/createissue,Assistant Engineer (Zone 5),Executive Engineer (Zone 5),Chief Engineer (Civil),Office Hours 10:00 - 17:00,SRC-002,https://lmc.up.nic.in/pdf/DoorbhasSuchi.pdf,LMC Doorbhas Suchi (Telephone Directory of Officials),Item 31 (Executive Engineer Zone 5),2024-08-01,OFFICIAL_DOCUMENT,HIGH,VERIFIED,2026-09-11,Zonal Officer Zone-5 is Shri Vineet Kumar (8810724965).
AUTH-026,AUTH-LMC,Lucknow Municipal Corporation,MUNICIPAL_CORPORATION,AUTH-GOUP-UDD,"Department of Urban Development, Government of Uttar Pradesh",ZONE,Lucknow,Lucknow,Uttar Pradesh,DEPT-LMC-CIVIL-Z6,Civil Engineering Division (Zone 6),ROADS,SRV-LMC-ZONAL-ROADS-Z6,Zonal Municipal Road and Drain Maintenance (Zone 6),"Field execution of pothole filling, patch repairs, and stormwater drain clearing in Zone 6.",POTHOLE,Road,Pothole in Zone 6,ZONE,Zone-6,ALL,"Zone 6 Wards (Chowk, Saadatganj, Kashmiri Mohalla, Daulatganj, etc.)",Supervision and execution of civil engineering repairs on municipal streets within Zone 6.,VERIFIED,Shri Ashok Yadav,Executive Engineer in Charge (Zone-6),8810721552,nnlko@nic.in,"Zone 6 Office, Chowk, Lucknow",https://lmc.up.nic.in,https://lucknow.everythingcivic.com/citizen/createissue,Assistant Engineer (Zone 6),Executive Engineer (Zone 6),Chief Engineer (Civil),Office Hours 10:00 - 17:00,SRC-002,https://lmc.up.nic.in/pdf/DoorbhasSuchi.pdf,LMC Doorbhas Suchi (Telephone Directory of Officials),Item 32 (Executive Engineer Zone 6),2024-08-01,OFFICIAL_DOCUMENT,HIGH,VERIFIED,2026-09-11,Zonal Officer Zone-6 is Shri Amarjit Yadav (8874704500).
AUTH-027,AUTH-LMC,Lucknow Municipal Corporation,MUNICIPAL_CORPORATION,AUTH-GOUP-UDD,"Department of Urban Development, Government of Uttar Pradesh",ZONE,Lucknow,Lucknow,Uttar Pradesh,DEPT-LMC-CIVIL-Z7,Civil Engineering Division (Zone 7),ROADS,SRV-LMC-ZONAL-ROADS-Z7,Zonal Municipal Road and Drain Maintenance (Zone 7),"Field execution of pothole filling, patch repairs, and stormwater drain clearing in Zone 7.",POTHOLE,Road,Pothole in Zone 7,ZONE,Zone-7,ALL,"Zone 7 Wards (Chinhat, Ismailganj, Indira Nagar Extension, etc.)",Supervision and execution of civil engineering repairs on municipal streets within Zone 7.,VERIFIED,Shri Sanjay Kumar Pandey,Executive Engineer in Charge (Zone-7),8810721556,nnlko@nic.in,"Zone 7 Office, Chinhat, Lucknow",https://lmc.up.nic.in,https://lucknow.everythingcivic.com/citizen/createissue,Assistant Engineer (Zone 7),Executive Engineer (Zone 7),Chief Engineer (Civil),Office Hours 10:00 - 17:00,SRC-002,https://lmc.up.nic.in/pdf/DoorbhasSuchi.pdf,LMC Doorbhas Suchi (Telephone Directory of Officials),Item 33 (Executive Engineer Zone 7),2024-08-01,OFFICIAL_DOCUMENT,HIGH,VERIFIED,2026-09-11,Zonal Officer Zone-7 is Shri Vikas Singh (8810724166).
AUTH-028,AUTH-LMC,Lucknow Municipal Corporation,MUNICIPAL_CORPORATION,AUTH-GOUP-UDD,"Department of Urban Development, Government of Uttar Pradesh",ZONE,Lucknow,Lucknow,Uttar Pradesh,DEPT-LMC-CIVIL-Z8,Civil Engineering Division (Zone 8),ROADS,SRV-LMC-ZONAL-ROADS-Z8,Zonal Municipal Road and Drain Maintenance (Zone 8),"Field execution of pothole filling, patch repairs, and stormwater drain clearing in Zone 8.",POTHOLE,Road,Pothole in Zone 8,ZONE,Zone-8,ALL,"Zone 8 Wards (Sarojini Nagar, Hind Nagar, Transport Nagar, etc.)",Supervision and execution of civil engineering repairs on municipal streets within Zone 8.,VERIFIED,Shri Sheel Kumar Srivastava,Executive Engineer in Charge (Zone-8),8810721526,nnlko@nic.in,"Zone 8 Office, Kanpur Road / Sarojini Nagar, Lucknow",https://lmc.up.nic.in,https://lucknow.everythingcivic.com/citizen/createissue,Assistant Engineer (Zone 8),Executive Engineer (Zone 8),Chief Engineer (Civil),Office Hours 10:00 - 17:00,SRC-002,https://lmc.up.nic.in/pdf/DoorbhasSuchi.pdf,LMC Doorbhas Suchi (Telephone Directory of Officials),Item 34 (Executive Engineer Zone 8),2024-08-01,OFFICIAL_DOCUMENT,HIGH,VERIFIED,2026-09-11,Zonal Officer Zone-8 is Dr. Ashish Singh (8808866500).
