duplicate_record_id,cluster_id,incident_id,data_mode,complaint_text,language,issue_category,issue_subcategory,latitude,longitude,location_status,ward_id,zone_id,asset_id,authority_id,duplicate_label,duplicate_reason,reference_record_id,evidence_available,source_type,source_id,source_reference,curation_confidence,notes
CT-DUP-011,CLUSTER-003,CT-INC-017,SYNTHETIC_EVALUATION,"चौक चौराहे की हाई-मास्ट लाइट की सभी बत्तियां कई दिनों से खराब पड़ी हैं, रात में पूरा चौराहा अंधेरे में रहता है।",HINDI,STREETLIGHT_FAILURE,High-Mast Light Outage,26.85250,80.91020,APPROXIMATE,WARD-106,ZONE-06,AST-STL-005,AUTH-LMC,DUPLICATE,Hindi duplicate describing identical failure of all lamps on the Chowk roundabout high-mast system.,CT-DUP-010,YES,SYNTHETIC_EVALUATION,SRC-002,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Scenario 3B (Hindi High-Mast Report),0.95,Devanagari text matching benchmark anchor.
CT-DUP-012,CLUSTER-003,CT-INC-017,SYNTHETIC_EVALUATION,"Streetlight bracket on Victoria Street pole near Chowk post office flickering and off.",ENGLISH,STREETLIGHT_FAILURE,Dark Streetlight / Luminaire Failure,26.85190,80.90920,APPROXIMATE,WARD-106,ZONE-06,AST-STL-005,AUTH-LMC,POSSIBLE_DUPLICATE,Streetlight complaint located ~140m away along Victoria Street; could represent a separate luminaire on the feeder line or same circuit trip.,CT-DUP-010,NO,SYNTHETIC_EVALUATION,SRC-013,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Scenario 3C (Nearby Separate Streetlight Fixture),0.60,Difficult Case 8: Two complaints that appear duplicate (street lighting failure in Chowk) but may involve distinct physical fixtures.
CT-DUP-013,CLUSTER-004,CT-INC-010,SYNTHETIC_EVALUATION,"Kapoorthala chauraha Aliganj par main drain jam hai, halki baarish mein bhi sadak par 2 feet paani bhar jata hai.",HINGLISH,WATERLOGGING,Commercial Intersection Waterlogging,26.85160,80.93039,APPROXIMATE,WARD-109,ZONE-03,AST-DRN-003,AUTH-LMC,DUPLICATE,Corresponds to CT-INC-010 ground truth (Kapoorthala storm waterlogging) with correct Kapoorthala coordinates resolving the spatial conflict test case.,CT-INC-010,YES,SYNTHETIC_EVALUATION,SRC-005,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Scenario 4A (Hinglish Waterlogging Ground Truth),0.90,Primary benchmark anchor for CLUSTER-004.
CT-DUP-014,CLUSTER-004,CT-INC-010,SYNTHETIC_EVALUATION,"Commercial crossing at Kapoorthala submerged in standing water due to choked drainage inlet.",ENGLISH,WATERLOGGING,Commercial Intersection Waterlogging,26.85120,80.93070,APPROXIMATE,WARD-109,ZONE-03,AST-DRN-003,AUTH-LMC,LIKELY_DUPLICATE,Same commercial crossing waterlogging distress; GPS recorded on opposite commercial corner (~60m displaced).,CT-DUP-013,YES,SYNTHETIC_EVALUATION,SRC-005,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Scenario 4B (English Waterlogging Cross-Corner),0.85,Opposite intersection corner evaluation.
CT-DUP-015,CLUSTER-004,CT-INC-010,SYNTHETIC_EVALUATION,"Waterlogged street near market in Aliganj, please send suction pump to clear water.",ENGLISH,WATERLOGGING,Commercial Intersection Waterlogging,26.85080,80.92980,APPROXIMATE,WARD-109,ZONE-03,AST-DRN-003,AUTH-LMC,POSSIBLE_DUPLICATE,Vague description mentioning only 'market in Aliganj'; lacks intersection landmark; coordinates within ~115m of Kapoorthala junction.,CT-DUP-013,NO,SYNTHETIC_EVALUATION,SRC-001,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Scenario 4C (Insufficient Evidence Candidate),0.55,Difficult Case 7: Duplicate candidate with insufficient evidence / low specificity.
CT-DUP-016,CLUSTER-005,CT-INC-012,SYNTHETIC_EVALUATION,"ऐशबाग जलकल संस्थान के पास मुख्य पेयजल पाइपलाइन फट गई है और सड़क पर हजारों लीटर पानी बह रहा है।",HINDI,BROKEN_PIPELINE,Burst Potable Water Trunk Main,26.84506,80.88655,APPROXIMATE,WARD-026,ZONE-02,AST-WTR-001,AUTH-LKO-JALSANSTHAN,DUPLICATE,Exact duplicate of CT-INC-012 describing ruptured clear-water transmission main in Aishbagh Water Works vicinity.,CT-INC-012,YES,SYNTHETIC_EVALUATION,SRC-011,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Scenario 5A (Burst Water Trunk Main),0.95,Primary benchmark anchor for CLUSTER-005.
CT-DUP-017,CLUSTER-005,CT-INC-012,SYNTHETIC_EVALUATION,"Massive potable water trunk pipeline burst near Aishbagh Water Works pumping compound, clean drinking water gushing onto Mill Road.",ENGLISH,BROKEN_PIPELINE,Burst Potable Water Trunk Main,26.84460,80.88710,APPROXIMATE,WARD-026,ZONE-02,AST-WTR-001,AUTH-LKO-JALSANSTHAN,LIKELY_DUPLICATE,English complaint describing same trunk pipeline breach; GPS displaced ~75m east along the Mill Road pipeline corridor.,CT-DUP-016,YES,SYNTHETIC_EVALUATION,SRC-011,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Scenario 5B (Displaced GPS Pipeline Corridor),0.90,Displaced GPS along continuous linear utility asset.
CT-DUP-018,CLUSTER-005,CT-INC-012,SYNTHETIC_EVALUATION,"Aishbagh water works wali main pipeline se lagataar drinking water leak ho raha hai, sadak par paani bhara hai.",MIXED,BROKEN_PIPELINE,Burst Potable Water Trunk Main,26.84485,80.88690,APPROXIMATE,WARD-026,ZONE-02,AST-WTR-001,AUTH-LKO-JALSANSTHAN,LIKELY_DUPLICATE,Mixed English/Hindi repeat grievance citing persistent drinking water wastage along the same transmission route.,CT-DUP-016,NO,SYNTHETIC_EVALUATION,SRC-011,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Scenario 5C (Repeated Grievance / Mixed Language),0.85,Mixed language repetition along water transmission corridor.
CT-DUP-019,CLUSTER-006,CT-INC-005,SYNTHETIC_EVALUATION,"Guru Nanak Nagar Alambagh market ke paas gali no. 3 ke mod par open kachra dump ho raha hai, kripya hatwayein.",HINGLISH,GARBAGE_ACCUMULATION,Unattended Roadside Garbage Mound,26.88140,80.99260,APPROXIMATE,WARD-023,ZONE-05,UNKNOWN,AUTH-LMC,POSSIBLE_DUPLICATE,Solid waste grievance located ~120m northeast in an adjacent residential lane; could be secondary dump associated with market spill or a distinct localized pile.,CT-INC-005,NO,SYNTHETIC_EVALUATION,SRC-002,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Scenario 6A (Diffuse Solid Waste / Nearby Lane),0.65,Difficult Case 8: Two complaints appear duplicate (garbage in Guru Nanak Nagar) but describe distinct spatial heaps ~120m apart.
CT-DUP-020,CLUSTER-007,UNKNOWN,SYNTHETIC_EVALUATION,"Streetlight fixture mounted on median pole opposite GPO Hazratganj is not working, road pitch dark at night.",ENGLISH,STREETLIGHT_FAILURE,Dark Streetlight / Luminaire Failure,26.85035,80.94390,APPROXIMATE,WARD-034,ZONE-01,AST-STL-001,AUTH-LMC,UNRELATED,Same locality as CT-DUP-001 (<40m distance) but entirely distinct issue category (STREETLIGHT_FAILURE vs POTHOLE); separate municipal lighting asset (AST-STL-001) under LMC vs PWD highway corridor.,CT-DUP-001,NO,SYNTHETIC_EVALUATION,SRC-013,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Control 1 (Same Locality / Different Issue Category),0.95,Scenario D & Difficult Case 4: Same locality completely different civic domain. Over-merging negative control.
CT-DUP-021,CLUSTER-007,UNKNOWN,SYNTHETIC_EVALUATION,"Stormwater drain heavily choked and overflowing with dirty runoff along sector road in Gomti Nagar near Vibhuti Khand.",ENGLISH,BLOCKED_DRAIN,Peripheral Stormwater Channel Siltation,26.85100,80.98500,APPROXIMATE,WARD-037,ZONE-04,AST-DRN-004,AUTH-LMC,UNRELATED,Similar wording ('stormwater drain choked and overflowing') to CT-DUP-006 but physically distant incident in Gomti Nagar (~4.2 km away Ward 37 Zone 4 vs Ward 34 Zone 1) on separate drainage canal (AST-DRN-004).,CT-DUP-006,NO,SYNTHETIC_EVALUATION,SRC-005,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Control 2 (Similar Wording / Distant Locality),0.95,Scenario E & Difficult Case 5: Similar text completely different physical incident and ward (~4.2 km). Over-merging negative control.
CT-DUP-022,CLUSTER-007,CT-INC-013,SYNTHETIC_EVALUATION,"Aliganj Sector C mein sub-surface drinking water line leak ho rahi hai, peene ka paani sadak par beh raha hai.",HINGLISH,WATER_LEAKAGE,Residential Water Reticulation Leak,26.85065,80.92942,APPROXIMATE,WARD-109,ZONE-03,AST-WTR-003,AUTH-LKO-JALSANSTHAN,UNRELATED,Shares terms 'Aliganj' 'sadak' 'paani' with CT-DUP-013 but distinct category (WATER_LEAKAGE vs WATERLOGGING) distinct asset (AST-WTR-003 vs AST-DRN-003) and different authority (Lucknow Jal Sansthan vs LMC Civil).,CT-DUP-013,NO,SYNTHETIC_EVALUATION,SRC-011,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Control 3 (Overlapping Vocabulary / Distinct Asset & Authority),0.95,Scenario H: Unrelated complaints sharing common words ('road' 'water'). Over-merging negative control.
CT-DUP-023,CLUSTER-007,CT-INC-018,SYNTHETIC_EVALUATION,"Electric distribution utility pole leaning dangerously with dangling live conductors near Victoria Street Chowk.",ENGLISH,ELECTRICAL_INFRASTRUCTURE,Leaning Electric Pole and Snapped Conductor,26.85154,80.90853,APPROXIMATE,WARD-106,ZONE-06,AST-ELE-005,AUTH-MVVNL,UNRELATED,Both in Chowk (Ward 106) but MVVNL electric pole structural collapse hazard (AST-ELE-005) vs LMC municipal lighting fixture failure (AST-STL-005); distinct authority and hazard scope.,CT-DUP-010,YES,SYNTHETIC_EVALUATION,SRC-008,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Control 4 (Same Ward / Electrical Infrastructure vs Luminaire),0.95,CONF-003 case study: MVVNL electrical pole vs LMC streetlight luminaire in Chowk.
CT-DUP-024,CLUSTER-007,CT-INC-006,SYNTHETIC_EVALUATION,"चौक क्षेत्र में खाली प्लॉट पर लगातार अवैध रूप से कचरा डंप किया जा रहा है जिससे गंभीर बदबू फैल रही है।",HINDI,ILLEGAL_DUMPING,Open Waste Dumping on Vacant Land,26.85310,80.90940,APPROXIMATE,WARD-106,ZONE-06,UNKNOWN,AUTH-LMC,UNRELATED,Shares solid waste / dumping vocabulary with CT-DUP-019 but located in Chowk Zone 6 (~9 km away from Alambagh Zone 5); completely separate physical incident.,CT-DUP-019,NO,SYNTHETIC_EVALUATION,SRC-002,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Control 5 (Distant Solid Waste Incidents Across Zones),0.95,Zone 6 vs Zone 5 solid waste negative control.
CT-DUP-025,CLUSTER-007,CT-INC-014,SYNTHETIC_EVALUATION,"Underground sewer line backed up and surcharging through manhole cover in commercial lane behind Hazratganj parking.",ENGLISH,SEWER_OVERFLOW,Surging Sewer Manhole / Conduit Blockage,26.85304,80.94423,APPROXIMATE,WARD-034,ZONE-01,AST-SWR-001,AUTH-LKO-JALSANSTHAN,UNRELATED,Shares underground pipe / fluid terminology with CT-DUP-016 but distinct issue (SEWER_OVERFLOW vs BROKEN_PIPELINE) located in Hazratganj Zone 1 (~6 km away from Aishbagh Zone 2) different asset (AST-SWR-001 vs AST-WTR-001).,CT-DUP-016,YES,SYNTHETIC_EVALUATION,SRC-011,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Control 6 (Sewer Surcharge vs Potable Main Rupture),0.95,Sewer vs potable pipeline negative control.
CT-DUP-026,CLUSTER-007,CT-INC-020,SYNTHETIC_EVALUATION,"Severe road subsidence and caved-in asphalt on Vipin Khand sector road near Gomti Nagar boundary.",ENGLISH,ROAD_DAMAGE,Sector Road Subsidence in Developing Layout,26.84854,80.97824,APPROXIMATE,WARD-037,ZONE-04,AST-ROAD-006,NEEDS_REVIEW,UNRELATED,Shares road distress vocabulary with CT-DUP-001 ('asphalt' 'road') but located in Gomti Nagar Vipin Khand (~3.5 km away Ward 37 Zone 4 vs Ward 34 Zone 1) on LDA sector road (AST-ROAD-006) vs PWD arterial corridor.,CT-DUP-001,NO,SYNTHETIC_EVALUATION,SRC-012,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Control 7 (Distant Road Damage Across Agency Jurisdictions),0.95,LDA developing sector road vs PWD arterial corridor negative control.
