asset_id,asset_type,asset_name,geometry_type,latitude,longitude,location_status,location_basis,ward_id,zone_id,authority_id,department,service,responsibility_type,responsibility_status,ownership_status,source_id,source_reference,verification_status,confidence,notes
AST-ROAD-011,ROAD,Sharda Nagar Sector G Access Road,APPROXIMATE_POINT,26.77831,80.93123,APPROXIMATE,MANUALLY_ESTIMATED,WARD-002,ZONE-08,AUTH-LMC,DEPT-LMC-CIVIL,SRV-LMC-POTHOLE,MAINTENANCE,INFERRED,INFERRED,SRC-002,Item 34 (Executive Engineer Zone 8),PARTIALLY_VERIFIED,HIGH,"Municipal sector access road serving Sharda Nagar residential colony in Zone 8. Inferred to LMC Civil Engineering Dept Zone 8 under UP Act 1959; location approximate."
AST-DRN-001,DRAIN,Kaiserbagh Stormwater Trunk Drain (Trilokinath Road Culvert),APPROXIMATE_POINT,26.85420,80.94369,APPROXIMATE,MAP_DERIVED,WARD-034,ZONE-01,AUTH-LMC,DEPT-LMC-CIVIL,SRV-LMC-DRAIN-CLEANING,MAINTENANCE,VERIFIED,INFERRED,SRC-005,Chapter 10 (Drains and Drainage),PARTIALLY_VERIFIED,HIGH,"Primary covered stormwater drain collecting surface runoff along LMC headquarters corridor. Statutory municipal duty under UP Municipal Corporations Act 1959 Ch 10; location approximate."
AST-DRN-002,DRAIN,Aishbagh Mill Nala Drainage Channel,APPROXIMATE_POINT,26.84350,80.88900,APPROXIMATE,MAP_DERIVED,WARD-026,ZONE-02,AUTH-LMC,DEPT-LMC-CIVIL,SRV-LMC-DRAIN-CLEANING,MAINTENANCE,VERIFIED,INFERRED,SRC-005,Chapter 10 (Drains and Drainage),PARTIALLY_VERIFIED,HIGH,"Major open masonry nala conveying monsoon discharge from Aishbagh towards Haider Canal. Maintained by LMC Civil Zone 2 per UP Act 1959 Ch 10; location approximate."
AST-DRN-003,DRAIN,Kapoorthala Roadside Stormwater Drain,APPROXIMATE_POINT,26.85160,80.93039,APPROXIMATE,MAP_DERIVED,WARD-109,ZONE-03,AUTH-LMC,DEPT-LMC-CIVIL,SRV-LMC-WATERLOGGING-PUMPING,OPERATION,INFERRED,INFERRED,SRC-005,Chapter 10 (Drains and Drainage),PARTIALLY_VERIFIED,HIGH,"Roadside stormwater collection drain in commercial node subject to monsoon waterlogging. Dewatering and desilting managed by LMC Civil Zone 3; location approximate."
AST-DRN-004,DRAIN,Gomti Nagar Vibhuti Khand Peripheral Stormwater Channel,APPROXIMATE_POINT,26.85100,80.98500,APPROXIMATE,MAP_DERIVED,WARD-037,ZONE-04,AUTH-LMC,DEPT-LMC-CIVIL,SRV-LMC-DRAIN-CLEANING,MAINTENANCE,INFERRED,INFERRED,SRC-005,Chapter 10 (Drains and Drainage),PARTIALLY_VERIFIED,MEDIUM,"Stormwater drainage outfall canal discharging into Gomti river. Maintained by LMC Civil Division Zone 4. Note: Outside DataMeet pre-2022 legacy polygon envelope; location approximate."
AST-DRN-005,DRAIN,Victoria Street Covered Masonry Stormwater Drain (Chowk),APPROXIMATE_POINT,26.85343,80.91010,APPROXIMATE,MAP_DERIVED,WARD-106,ZONE-06,AUTH-LMC,DEPT-LMC-CIVIL,SRV-LMC-DRAIN-CLEANING,MAINTENANCE,VERIFIED,INFERRED,SRC-005,Chapter 10 (Drains and Drainage),PARTIALLY_VERIFIED,HIGH,"Historical covered brick-arch drainage conduit dating back to early municipal works; desilted routinely by LMC Civil Zone 6; location approximate."
AST-DRN-006,DRAIN,Kukrail Nala Feeder Drainage Channel (Indira Nagar Outfall),APPROXIMATE_POINT,26.87738,80.96988,APPROXIMATE,MAP_DERIVED,WARD-015,ZONE-07,AUTH-LMC,DEPT-LMC-CIVIL,SRV-LMC-DRAIN-CLEANING,MAINTENANCE,VERIFIED,INFERRED,SRC-005,Chapter 10 (Drains and Drainage),PARTIALLY_VERIFIED,HIGH,"Surface stormwater canal draining eastern Indira Nagar sectors into the Kukrail river tributary. Structural upkeep under LMC Civil Division Zone 7; location approximate."
AST-DRN-007,DRAIN,Vrindavan Colony Peripheral Stormwater Drain,APPROXIMATE_POINT,26.78013,80.96483,APPROXIMATE,MANUALLY_ESTIMATED,WARD-003,ZONE-08,AUTH-LMC,DEPT-LMC-CIVIL,SRV-LMC-DRAIN-CLEANING,MAINTENANCE,INFERRED,INFERRED,SRC-005,Chapter 10 (Drains and Drainage),PARTIALLY_VERIFIED,HIGH,"Roadside stormwater drainage collector along Vrindavan colony corridor in Zone 8. Maintained by LMC Civil Zone 8; location approximate."
AST-WTR-001,WATER_PIPELINE,Aishbagh Water Works Potable Feeder Trunk Main,APPROXIMATE_POINT,26.84500,80.88650,APPROXIMATE,MAP_DERIVED,WARD-026,ZONE-02,AUTH-LKO-JALSANSTHAN,DEPT-JS-WATER,SRV-JS-BURST-PIPE,OPERATION,VERIFIED,VERIFIED,SRC-011,Section 18 & Section 24,PARTIALLY_VERIFIED,HIGH,"Primary clear-water transmission main originating from historical Aishbagh Water Works pumping station. Operated and maintained by Lucknow Jal Sansthan under UP Act 43 of 1975 Section 18 & 24. Facility verified; exact pipe coordinate approximate."
AST-WTR-002,WATER_PIPELINE,Hazratganj Potable Water Distribution Pipeline,APPROXIMATE_POINT,26.85510,80.94250,APPROXIMATE,MAP_DERIVED,WARD-034,ZONE-01,AUTH-LKO-JALSANSTHAN,DEPT-JS-WATER,SRV-JS-LEAK-REPAIR,MAINTENANCE,INFERRED,INFERRED,SRC-011,Section 24 (Water Supply Functions),PARTIALLY_VERIFIED,HIGH,"Underground distribution pipeline supplying Hazratganj commercial and institutional zone. Maintained by Jal Sansthan Zone 1 per UP Act 1975 Section 24; location approximate."
AST-WTR-003,WATER_PIPELINE,Aliganj Sector C Potable Water Distribution Line,APPROXIMATE_POINT,26.85060,80.92939,APPROXIMATE,MANUALLY_ESTIMATED,WARD-109,ZONE-03,AUTH-LKO-JALSANSTHAN,DEPT-JS-WATER,SRV-JS-LEAK-REPAIR,MAINTENANCE,INFERRED,INFERRED,SRC-011,Section 24 (Water Supply Functions),PARTIALLY_VERIFIED,HIGH,"Sub-surface water distribution reticulation network serving Aliganj Sector C residences. Maintained by Jal Sansthan Zone 3 per UP Act 1975 Section 24; location approximate."
AST-WTR-004,WATER_PIPELINE,Indira Nagar Sector 18 Overhead Water Reservoir Supply Feeder,APPROXIMATE_POINT,26.90420,80.94600,APPROXIMATE,MAP_DERIVED,WARD-080,ZONE-07,AUTH-LKO-JALSANSTHAN,DEPT-JS-WATER,SRV-JS-LEAK-REPAIR,OPERATION,VERIFIED,INFERRED,SRC-011,Section 24 (Water Supply Functions),PARTIALLY_VERIFIED,HIGH,"Feeder pipeline connecting tubewell battery to elevated storage reservoir in Sector 18. Operated by Lucknow Jal Sansthan Zone 7; location approximate."
AST-WTR-005,WATER_PIPELINE,Chowk Ghasyari Mandi Potable Water Distribution Line,APPROXIMATE_POINT,26.85243,80.90910,APPROXIMATE,MAP_DERIVED,WARD-106,ZONE-06,AUTH-LKO-JALSANSTHAN,DEPT-JS-WATER,SRV-JS-LEAK-REPAIR,MAINTENANCE,INFERRED,INFERRED,SRC-011,Section 24 (Water Supply Functions),PARTIALLY_VERIFIED,HIGH,"Dense old city water distribution network in Chowk Ward. Routine pipe repairs under Jal Sansthan Zone 6 per UP Act 1975; location approximate."
AST-WTR-006,WATER_PIPELINE,Gomti Water Augmentation Scheme Bulk Transmission Main,APPROXIMATE_POINT,26.88533,80.94495,APPROXIMATE,MAP_DERIVED,WARD-028,ZONE-01,AUTH-UPJN-URBAN,DEPT-UPJN-CONSTR,SRV-UPJN-CAPITAL-WORKS,SERVICE_RESPONSIBILITY,VERIFIED,VERIFIED,SRC-009,AMRUT & Capital Works Project Portfolio,PARTIALLY_VERIFIED,HIGH,"Major capital raw water conveyance pipeline executed by Uttar Pradesh Jal Nigam (Urban) under AMRUT / Namami Gange scheme. Capital execution mandate verified; pipe coordinate approximate."
AST-SWR-001,SEWER,Hazratganj Underground Trunk Sewer Reticulation Line,APPROXIMATE_POINT,26.85300,80.94420,APPROXIMATE,MAP_DERIVED,WARD-034,ZONE-01,AUTH-LKO-JALSANSTHAN,DEPT-JS-SEWER,SRV-JS-SEWER-CLEARANCE,OPERATION,INFERRED,INFERRED,SRC-011,Section 24 (Sewerage Services),PARTIALLY_VERIFIED,HIGH,"Underground sewerage network along central business district. De-siltation operated by Jal Sansthan Sewerage Wing per UP Act 1975 Section 24; location approximate."
AST-SWR-002,SEWER,Aishbagh Sewage Pumping Station Inflow Trunk Conduit,APPROXIMATE_POINT,26.84280,80.88850,APPROXIMATE,MAP_DERIVED,WARD-026,ZONE-02,AUTH-LKO-JALSANSTHAN,DEPT-JS-SEWER,SRV-JS-SEWER-CLEARANCE,OPERATION,VERIFIED,VERIFIED,SRC-011,Section 24 (Sewerage Services),PARTIALLY_VERIFIED,HIGH,"Deep gravity sewer conduit conveying wastewater to Aishbagh intermediate pumping station. Routine desilting under Jal Sansthan Zone 2. Facility verified; coordinate approximate."
AST-SWR-003,SEWER,Aliganj Sector H Gravity Collector Sewer Line,APPROXIMATE_POINT,26.85170,80.92949,APPROXIMATE,MANUALLY_ESTIMATED,WARD-109,ZONE-03,AUTH-LKO-JALSANSTHAN,DEPT-JS-SEWER,SRV-JS-SEWER-CLEARANCE,MAINTENANCE,INFERRED,INFERRED,SRC-011,Section 24 (Sewerage Services),PARTIALLY_VERIFIED,HIGH,"Underground residential collector sewer line connecting household laterals. Operated and unblocked by Jal Sansthan Zone 3 per UP Act 1975; location approximate."
AST-SWR-004,SEWER,Chowk Heritage Underground Masonry Sewer Conduit,APPROXIMATE_POINT,26.85353,80.90920,APPROXIMATE,MAP_DERIVED,WARD-106,ZONE-06,AUTH-LKO-JALSANSTHAN,DEPT-JS-SEWER,SRV-JS-SEWER-CLEARANCE,MAINTENANCE,INFERRED,INFERRED,SRC-011,Section 24 (Sewerage Services),PARTIALLY_VERIFIED,HIGH,"Historical arched masonry trunk sewer in old city. Jetting machines deployed by Jal Sansthan Zone 6 per UP Act 1975; location approximate."
AST-SWR-005,SEWER,Bharwara Sewage Treatment Plant Main Inflow Trunk Sewer Conduit,APPROXIMATE_POINT,26.85000,81.02500,APPROXIMATE,MAP_DERIVED,WARD-014,ZONE-04,AUTH-UPJN-URBAN,DEPT-UPJN-CONSTR,SRV-UPJN-CAPITAL-WORKS,SERVICE_RESPONSIBILITY,VERIFIED,VERIFIED,SRC-009,AMRUT & Capital Works Project Portfolio,NEEDS_REVIEW,HIGH,"Major capital trunk sewer infrastructure terminating at Bharwara STP. Engineered by UP Jal Nigam (Urban). Note: Ward 14 lacks legacy GIS vector in Phase 2; location approximate."
AST-STL-001,STREETLIGHT,Hazratganj Heritage Pole LED Luminaire Circuit,APPROXIMATE_POINT,26.85150,80.94480,APPROXIMATE,MAP_DERIVED,WARD-034,ZONE-01,AUTH-LMC,DEPT-LMC-ELEC,SRV-LMC-STREETLIGHT-REPAIR,MAINTENANCE,VERIFIED,INFERRED,SRC-002,Item 10 (Chief Engineer Electrical/Mechanical),PARTIALLY_VERIFIED,HIGH,"Municipal street lighting fixtures along Hazratganj promenade. Maintained by LMC E&M Department in partnership with EESL concession (SRC-013). Location approximate."
AST-STL-002,STREETLIGHT,Mahatma Gandhi Marg Central Median Streetlight Array,APPROXIMATE_POINT,26.86136,80.89832,APPROXIMATE,MAP_DERIVED,WARD-017,ZONE-01,AUTH-LMC,DEPT-LMC-ELEC,SRV-LMC-STREETLIGHT-HARDWARE,MAINTENANCE,VERIFIED,INFERRED,SRC-013,SLNP Municipal LED Concession Framework,PARTIALLY_VERIFIED,HIGH,"Highway median lighting fixtures mounted along MG Marg. While road is PWD corridor lighting fixtures are maintained by LMC Electrical Department (CONF-003 CONF-004). Location approximate."
AST-STL-003,STREETLIGHT,Aliganj Kapoorthala Commercial Crossing High-Mast Lighting System,POINT,26.85070,80.93049,APPROXIMATE,MAP_DERIVED,WARD-109,ZONE-03,AUTH-LMC,DEPT-LMC-ELEC,SRV-LMC-STREETLIGHT-REPAIR,MAINTENANCE,INFERRED,INFERRED,SRC-002,Item 10 (Chief Engineer Electrical/Mechanical),PARTIALLY_VERIFIED,HIGH,"High-mast lighting tower illuminated with floodlights at Kapoorthala junction. Maintained by LMC E&M Department; location approximate."
AST-STL-004,STREETLIGHT,Indira Nagar Sector 14 Public Streetlight Luminaire,APPROXIMATE_POINT,26.90650,80.94420,APPROXIMATE,MANUALLY_ESTIMATED,WARD-080,ZONE-07,AUTH-LMC,DEPT-LMC-ELEC,SRV-LMC-STREETLIGHT-REPAIR,MAINTENANCE,INFERRED,INFERRED,SRC-013,SLNP Municipal LED Concession Framework,PARTIALLY_VERIFIED,HIGH,"Standard municipal LED luminaire retrofitted under SLNP by EESL for Lucknow Municipal Corporation. Location approximate."
AST-STL-005,STREETLIGHT,Chowk Chauraha Historical Roundabout High-Mast Luminaire,POINT,26.85253,80.91020,APPROXIMATE,MAP_DERIVED,WARD-106,ZONE-06,AUTH-LMC,DEPT-LMC-ELEC,SRV-LMC-STREETLIGHT-HARDWARE,MAINTENANCE,VERIFIED,INFERRED,SRC-002,Item 10 (Chief Engineer Electrical/Mechanical),PARTIALLY_VERIFIED,HIGH,"Municipal high-mast lighting system illuminating Chowk roundabout. Bracket and bulb maintenance under Chief Engineer (E/M) LMC; location approximate."
AST-ELE-001,ELECTRICAL_INFRASTRUCTURE,Hazratganj 33/11kV Primary Distribution Substation (LESA),POINT,26.85380,80.94450,APPROXIMATE,MAP_DERIVED,WARD-034,ZONE-01,AUTH-MVVNL,DEPT-MVVNL-LESA,SRV-MVVNL-POWER-SUPPLY,OWNERSHIP,VERIFIED,VERIFIED,SRC-008,LESA Urban Distribution Division Directory,PARTIALLY_VERIFIED,HIGH,"MVVNL / LESA 33/11kV indoor power distribution substation facility supplying Hazratganj commercial feeders and public lighting circuits. Substation compound verified; exact point approximate."
AST-ELE-002,ELECTRICAL_INFRASTRUCTURE,Aishbagh Distribution Transformer Substation,POINT,26.84600,80.88700,APPROXIMATE,MAP_DERIVED,WARD-026,ZONE-02,AUTH-MVVNL,DEPT-MVVNL-LESA,SRV-MVVNL-POWER-SUPPLY,OWNERSHIP,VERIFIED,VERIFIED,SRC-008,LESA Urban Distribution Division Directory,PARTIALLY_VERIFIED,HIGH,"Step-down transformer installation feeding industrial and residential distribution panels in Aishbagh. Owned and operated by MVVNL LESA division. Location approximate."
AST-ELE-003,ELECTRICAL_INFRASTRUCTURE,Aliganj Sector Q Distribution Transformer Structure,APPROXIMATE_POINT,26.85180,80.92800,APPROXIMATE,MANUALLY_ESTIMATED,WARD-109,ZONE-03,AUTH-MVVNL,DEPT-MVVNL-LESA,SRV-MVVNL-LINE-MAINTENANCE,MAINTENANCE,INFERRED,INFERRED,SRC-008,LESA Urban Distribution Division Directory,PARTIALLY_VERIFIED,HIGH,"Pole-mounted distribution transformer with LT fuse bank. Maintenance and conductor repairs under SDO LESA Aliganj; location approximate."
AST-ELE-004,ELECTRICAL_INFRASTRUCTURE,Indira Nagar 33/11kV Power Substation (LESA Sector 14),POINT,26.90350,80.94480,APPROXIMATE,MAP_DERIVED,WARD-080,ZONE-07,AUTH-MVVNL,DEPT-MVVNL-LESA,SRV-MVVNL-POWER-SUPPLY,OWNERSHIP,VERIFIED,VERIFIED,SRC-008,LESA Urban Distribution Division Directory,PARTIALLY_VERIFIED,HIGH,"Regional 33/11kV power distribution substation serving trans-Gomti residential sectors in Indira Nagar. Facility verified; coordinate approximate."
AST-ELE-005,ELECTRICAL_INFRASTRUCTURE,Chowk Victoria Street Overhead Feeder & Utility Pole,APPROXIMATE_POINT,26.85150,80.90850,APPROXIMATE,MAP_DERIVED,WARD-106,ZONE-06,AUTH-MVVNL,DEPT-MVVNL-LESA,SRV-MVVNL-LINE-MAINTENANCE,MAINTENANCE,VERIFIED,INFERRED,SRC-008,LESA Urban Distribution Division Directory,PARTIALLY_VERIFIED,HIGH,"Utility distribution pole supporting high-tension and low-tension overhead lines. Physical structural maintenance by MVVNL Chowk division even if streetlight luminaire is mounted on it (CONF-003). Location approximate."
