jurisdiction_version,version_type,zone_id,zone_number,zone_name,ward_id,ward_number,ward_name_hindi,ward_name_en,administrative_status,geometry_source_id,geometry_status,alignment_status,legacy_ward_num,legacy_ward_name,legal_basis_source_id,effective_from,effective_to,derivation_method,notes
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-05,5,Zone 5 (Alambagh / South-West),WARD-025,25,बाबू कुंज बिहारी ओम नगर वार्ड,Babu Kunj Bihari Om Nagar Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,18,Om Nagar,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Expanded from legacy Om Nagar ward (legacy Ward 18) incorporating Babu Kunj Bihari Nagar.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-02,2,Zone 2 (Aishbagh / Old City South),WARD-026,26,ऐशबाग वार्ड,Aishbagh Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,VERIFIED,60,Aishbagh,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Stable historical industrial and residential municipal ward.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-06,6,Zone 6 (Chowk / West),WARD-027,27,बालागंज प्रथम वार्ड,Balaganj First Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,103,Balaganj,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Demarcated from legacy Balaganj ward (legacy Ward 103).
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-01,1,Zone 1 (Hazratganj / Central),WARD-028,28,राम मोहन राय वार्ड,Ram Mohan Roy Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,VERIFIED,89,Raja Ram Mohan Rai,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Core historical central ward along Shahnajaf and Hazratganj arterial corridors.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-08,8,Zone 8 (Sarojini Nagar / South),WARD-029,29,खरिका द्वितीय वार्ड,Kharika Second Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,10,Kharika,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Bifurcated from legacy Kharika ward (legacy Ward 10); southern Telibagh residential corridor.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-08,8,Zone 8 (Sarojini Nagar / South),WARD-030,30,खरिका प्रथम वार्ड,Kharika First Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,10,Kharika,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Bifurcated from legacy Kharika ward (legacy Ward 10); northern Telibagh / LDA colony sector.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-03,3,Zone 3 (Aliganj / North),WARD-031,31,जानकीपुरम प्रथम वार्ड,Jankipuram First Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,75,Jankipuram,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Core Jankipuram residential sectors along Engineering College corridor.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-06,6,Zone 6 (Chowk / West),WARD-032,32,आलमनगर वार्ड,Alamnagar Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,VERIFIED,68,Alam Nagar,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Stable historical railway and residential ward in western Lucknow.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-01,1,Zone 1 (Hazratganj / Central),WARD-033,33,लालकुआं वार्ड,Lalkuan Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,VERIFIED,13,Lal Kuan,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Stable central municipal ward comprising Chitwapur and Lalkuan.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-01,1,Zone 1 (Hazratganj / Central),WARD-034,34,हजरतगंज रामतीर्थ वार्ड,Hazratganj Ramtirth Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,VERIFIED,17,Hazarat Ganj,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Definitive central commercial and administrative core of Lucknow.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-08,8,Zone 8 (Sarojini Nagar / South),WARD-035,35,हिन्द नगर वार्ड,Hind Nagar Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,VERIFIED,66,Hind Nagar,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Established residential ward along Kanpur Road opposite transport depot.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-05,5,Zone 5 (Alambagh / South-West),WARD-036,36,केसरी खेड़ा वार्ड,Kesri Kheda Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,VERIFIED,19,Kesri Kheda,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Stable residential ward in Alambagh peripheral area.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-04,4,Zone 4 (Gomti Nagar / East),WARD-037,37,गोमती नगर वार्ड,Gomti Nagar Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,VERIFIED,80,Gomti Nagar,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Core planned development ward along Vipin Khand and Sanjay Gandhi Puram.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-06,6,Zone 6 (Chowk / West),WARD-038,38,कन्हैया माधवपुर द्वितीय वार्ड,Kanhaiya Madhopur Second Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,9,Kanhaiya Madhopur,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Bifurcated from legacy Kanhaiya Madhopur ward (legacy Ward 9).
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-06,6,Zone 6 (Chowk / West),WARD-039,39,न्यू हैदरगंज द्वितीय वार्ड,New Haiderganj Second Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,16,Haidar Ganj 2nd,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Bifurcated from legacy Haidar Ganj 2nd (legacy Ward 16).
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-07,7,Zone 7 (Chinhat / Indira Nagar),WARD-040,40,इन्दिर प्रियदर्शिनी वार्ड,Indira Priyadarshini Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,VERIFIED,72,Indira Priyadarshini,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Stable residential ward in Indira Nagar Sector 11/14 corridor.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-05,5,Zone 5 (Alambagh / South-West),WARD-041,41,रामजी लाल सरदार पटेल नगर वार्ड,Ramji Lal Sardar Patel Nagar Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,96,Sardar Patel Nagar,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Expanded from legacy Sardar Patel Nagar incorporating Ramji Lal Nagar.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-07,7,Zone 7 (Chinhat / Indira Nagar),WARD-042,42,शंकरपुरवा द्वितीय वार्ड,Shankarpurwa Second Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,VERIFIED,78,Shanker Purwa 2nd,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Established residential ward along Ring Road / Kalyanpur corridor.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-07,7,Zone 7 (Chinhat / Indira Nagar),WARD-043,43,इस्माइलगंज द्वितीय वार्ड,Ismailganj Second Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,41,Ismail Ganj 2nd,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Bifurcated from legacy Ismailganj complex along Faizabad Road.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-03,3,Zone 3 (Aliganj / North),WARD-044,44,फैजुल्लागंज द्वितीय वार्ड,Faizullaganj Second Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,12,Faizullah Ganj 2nd,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Established ward in northern Sitapur Road suburban belt.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-05,5,Zone 5 (Alambagh / South-West),WARD-045,45,गुरु गोविंद सिंह वार्ड,Guru Govind Singh Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,VERIFIED,20,Guru Govind Singh Ward,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Stable historical ward in Charbagh / Alambagh corridor.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-02,2,Zone 2 (Aishbagh / Old City South),WARD-046,46,कुंवर ज्योति प्रसाद वार्ड,Kunwar Jyoti Prasad Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,64,Kunwar Jyoti Prasad 1st,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Re-aligned from legacy Kunwar Jyoti Prasad 1st/2nd in Rajajipuram sector.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-03,3,Zone 3 (Aliganj / North),WARD-047,47,डालीगंज निराला नगर वार्ड,Daliganj Nirala Nagar Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,76,Nirala Nagar,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Core northern ward uniting historical Daliganj riverfront and Nirala Nagar.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-03,3,Zone 3 (Aliganj / North),WARD-048,48,फैजुल्लागंज प्रथम वार्ड,Faizullaganj First Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,12,Faizullah Ganj 2nd,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,"Covers Indrapuri, Aziz Nagar, and inner Sitapur road settlements."
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-03,3,Zone 3 (Aliganj / North),WARD-049,49,महाकवि जय शंकर प्रसाद वार्ड,Mahakavi Jai Shankar Prasad Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,VERIFIED,90,Jai Shankar Prasad,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Stable northern municipal ward around Purania and Sector D Aliganj.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-04,4,Zone 4 (Gomti Nagar / East),WARD-050,50,चिनहट प्रथम वार्ड,Chinhat First Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,11,Chinhat,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Bifurcated from legacy Chinhat ward (legacy Ward 11); western Chinhat core.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-07,7,Zone 7 (Chinhat / Indira Nagar),WARD-051,51,इस्माइलगंज प्रथम वार्ड,Ismailganj First Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,37,Ismail Ganj 1st,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Bifurcated from legacy Ismailganj complex; covers Patel Nagar / Harihar Nagar.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-06,6,Zone 6 (Chowk / West),WARD-052,52,कन्हैया माधवपुर प्रथम वार्ड,Kanhaiya Madhopur First Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,9,Kanhaiya Madhopur,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Bifurcated from legacy Kanhaiya Madhopur ward (legacy Ward 9); eastern sector.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-03,3,Zone 3 (Aliganj / North),WARD-053,53,महानगर वार्ड,Mahanagar Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,VERIFIED,44,Mahanagar,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Established residential planned layout in north-central Lucknow.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-05,5,Zone 5 (Alambagh / South-West),WARD-054,54,गीता पल्ली वार्ड,Geeta Palli Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,VERIFIED,59,Geeta Palli,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Stable historical ward along VIP road / Alambagh corridor.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-01,1,Zone 1 (Hazratganj / Central),WARD-055,55,रानी लक्ष्मी बाई वार्ड,Rani Laxmi Bai Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,VERIFIED,99,Rani Laxmi Bai,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Historical central ward in Lalbagh / Naka Hindola area.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-08,8,Zone 8 (Sarojini Nagar / South),WARD-056,56,विद्यावती द्वितीय वार्ड,Vidyavati Second Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,73,Vidyavati 2nd,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Bifurcated from legacy Vidyavati complex (legacy Ward 73) in LDA colony.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-01,1,Zone 1 (Hazratganj / Central),WARD-057,57,बाबू बनारसी दास वार्ड,Babu Banarsi Das Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,VERIFIED,94,Babu Banarsi Das,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,"Central ward comprising Qila, Husainganj, and old cantonment interface."
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-02,2,Zone 2 (Aishbagh / Old City South),WARD-058,58,मोती लाल नेहरू चंद्र भानु गुप्त वार्ड,Moti Lal Nehru Chandra Bhanu Gupt Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,45,Moti Lal Nehru,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Unified ward joining historical Moti Lal Nehru and CB Gupta municipal sectors.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-04,4,Zone 4 (Gomti Nagar / East),WARD-059,59,काल्विन कालेज निशातगंज वार्ड,Colvin College Nishatganj Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,22,Nishat Ganj,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Historic riverfront ward around Colvin Taluqdars College and Nishatganj.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-08,8,Zone 8 (Sarojini Nagar / South),WARD-060,60,विद्यावती तृतीय वार्ड,Vidyavati Third Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,73,Vidyavati 2nd,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Bifurcated from legacy Vidyavati complex; covers Sector I/K Kanpur Road scheme.
