incident_id,record_type,created_at,description,language,issue_category,issue_subcategory,severity,latitude,longitude,location_status,ward_id,zone_id,asset_id,authority_id,department,service,responsibility_status,confidence,source_id,source_reference,notes
CT-INC-011,SYNTHETIC_EVALUATION,2026-09-06T09:40:00Z,Drinking water distribution pipe leaking underground near Mayfair Hazratganj causing water loss and low pressure.,ENGLISH,WATER_LEAKAGE,Potable Water Distribution Pipe Leakage,MEDIUM,26.85514,80.94254,APPROXIMATE,WARD-034,ZONE-01,AST-WTR-002,AUTH-LKO-JALSANSTHAN,DEPT-JS-WATER,SRV-JS-LEAK-REPAIR,INFERRED,HIGH,SRC-011,Section 24 (Water Supply Functions),"Synthetic evaluation scenario for underground potable water pipeline leak in central commercial area. Linked to AST-WTR-002. Operative authority is Lucknow Jal Sansthan Zone 1 per UP Act 43 of 1975."
CT-INC-012,SYNTHETIC_EVALUATION,2026-09-06T14:30:00Z,"ऐशबाग वाटर वर्क्स के पास मुख्य पेयजल पाइपलाइन फट गई है और सड़क पर हजारों लीटर पानी बर्बाद हो रहा है।",HINDI,BROKEN_PIPELINE,Burst Potable Water Trunk Main,CRITICAL,26.84506,80.88655,APPROXIMATE,WARD-026,ZONE-02,AST-WTR-001,AUTH-LKO-JALSANSTHAN,DEPT-JS-WATER,SRV-JS-BURST-PIPE,VERIFIED,HIGH,SRC-011,Section 18 & Section 24,"Synthetic evaluation scenario for ruptured trunk transmission main originating from Aishbagh Water Works. Linked to AST-WTR-001. Requires emergency excavation and pipeline isolation by Lucknow Jal Sansthan."
CT-INC-013,SYNTHETIC_EVALUATION,2026-09-07T10:00:00Z,"Aliganj Sector C mein sub-surface drinking water line leak ho rahi hai, peene ka paani sadak par beh raha hai.",HINGLISH,WATER_LEAKAGE,Residential Water Reticulation Leak,MEDIUM,26.85065,80.92942,APPROXIMATE,WARD-109,ZONE-03,AST-WTR-003,AUTH-LKO-JALSANSTHAN,DEPT-JS-WATER,SRV-JS-LEAK-REPAIR,INFERRED,HIGH,SRC-011,Section 24 (Water Supply Functions),"Synthetic evaluation scenario for residential reticulation water leak in Aliganj Sector C. Linked to AST-WTR-003. Routine repair managed by Jal Sansthan Zone 3."
CT-INC-014,SYNTHETIC_EVALUATION,2026-09-07T15:25:00Z,Sewage line backed up and surcharging through manhole cover on Hazratganj lane causing foul odor.,ENGLISH,SEWER_OVERFLOW,Surging Sewer Manhole / Conduit Blockage,HIGH,26.85304,80.94423,APPROXIMATE,WARD-034,ZONE-01,AST-SWR-001,AUTH-LKO-JALSANSTHAN,DEPT-JS-SEWER,SRV-JS-SEWER-CLEARANCE,INFERRED,HIGH,SRC-011,Section 24 (Sewerage Services),"Synthetic evaluation scenario for sewer surcharge in central business district. Linked to AST-SWR-001. Requires jetting machine deployment by Lucknow Jal Sansthan Sewer Wing."
CT-INC-015,SYNTHETIC_EVALUATION,2026-09-08T09:10:00Z,"चौक हेरिटेज क्षेत्र में पुरानी सीवर लाइन चोक होने से मैनहोल से गंदा पानी गलियों में भर रहा है।",HINDI,SEWER_OVERFLOW,Heritage Masonry Sewer Conduit Overflow,HIGH,26.85356,80.90924,APPROXIMATE,WARD-106,ZONE-06,AST-SWR-004,AUTH-LKO-JALSANSTHAN,DEPT-JS-SEWER,SRV-JS-SEWER-CLEARANCE,INFERRED,HIGH,SRC-011,Section 24 (Sewerage Services),"Synthetic evaluation scenario for choked brick-arch sewer in old city core. Linked to AST-SWR-004. Desiltation and jetting operated by Lucknow Jal Sansthan Zone 6."
CT-INC-016,SYNTHETIC_EVALUATION,2026-09-08T18:40:00Z,Streetlight LED luminaire fixture on Sector 14 municipal pole not illuminating for the past 4 days.,ENGLISH,STREETLIGHT_FAILURE,Dark Streetlight / Luminaire Failure,LOW,26.90653,80.94424,APPROXIMATE,WARD-080,ZONE-07,AST-STL-004,AUTH-LMC,DEPT-LMC-ELEC,SRV-LMC-STREETLIGHT-REPAIR,INFERRED,HIGH,SRC-013,SLNP Municipal LED Concession Framework,"Synthetic evaluation scenario for dark residential street fixture. Linked to AST-STL-004. Luminaire replacement falls under LMC Electrical & Mechanical Department executed via EESL concession."
CT-INC-017,SYNTHETIC_EVALUATION,2026-09-09T19:00:00Z,"चौक चौराहे पर लगी ऐतिहासिक हाई-मास्ट लाइट की सभी फ्लडलाइट्स बंद हैं, पूरा चौराहा अंधेरे में है।",HINDI,STREETLIGHT_FAILURE,High-Mast Light Outage,MEDIUM,26.85255,80.91024,APPROXIMATE,WARD-106,ZONE-06,AST-STL-005,AUTH-LMC,DEPT-LMC-ELEC,SRV-LMC-STREETLIGHT-HARDWARE,VERIFIED,HIGH,SRC-002,Item 10 (Chief Engineer Electrical/Mechanical),"Synthetic evaluation scenario for high-mast lighting outage at major public junction. Linked to AST-STL-005. Upkeep managed by LMC Chief Engineer (E/M) Lalbagh."
CT-INC-018,SYNTHETIC_EVALUATION,2026-09-10T11:10:00Z,Utility electric distribution pole dangerously leaning with hanging live wires near Victoria Street Chowk.,ENGLISH,ELECTRICAL_INFRASTRUCTURE,Leaning Electric Pole and Snapped Conductor,CRITICAL,26.85154,80.90853,APPROXIMATE,WARD-106,ZONE-06,AST-ELE-005,AUTH-MVVNL,DEPT-MVVNL-LESA,SRV-MVVNL-LINE-MAINTENANCE,VERIFIED,HIGH,SRC-008,Consumer Safety & Breakdown Guidelines,"Synthetic evaluation scenario for physical electrical hazard. Linked to AST-ELE-005. Structural maintenance of utility pole and conductors belongs strictly to MVVNL / LESA Chowk division (CONF-003)."
CT-INC-019,SYNTHETIC_EVALUATION,2026-09-10T20:15:00Z,"Sector Q crossing par streetlight nahi chal rahi aur distribution transformer pole se sparking ho rahi hai.",MIXED,ELECTRICAL_INFRASTRUCTURE,Transformer Sparking and Associated Lighting Circuit Tripping,CRITICAL,26.85184,80.92804,APPROXIMATE,WARD-109,ZONE-03,AST-ELE-003,AUTH-MVVNL,DEPT-MVVNL-LESA,SRV-MVVNL-LINE-MAINTENANCE,INFERRED,MEDIUM,SRC-008,LESA Urban Distribution Division Directory,"Difficult Case B: Streetlight vs Electrical infrastructure distinction (CONF-003). While dark streetlight is mentioned, primary hazard is active sparking at pole-mounted transformer. Governed by MVVNL LESA distribution line maintenance rather than LMC luminaire team."
CT-INC-020,SYNTHETIC_EVALUATION,2026-09-11T13:40:00Z,Severe road subsidence and caved-in asphalt on Vipin Khand sector road near Gomti Nagar boundary.,ENGLISH,ROAD_DAMAGE,Sector Road Subsidence in Developing Layout,HIGH,26.84854,80.97824,APPROXIMATE,WARD-037,ZONE-04,AST-ROAD-006,NEEDS_REVIEW,UNKNOWN,UNKNOWN,NEEDS_REVIEW,LOW,SRC-012,Section 15 & Engineering Division Directory,"Difficult Case E: Authority ambiguity in un-transferred/transition development sectors (CONF-004). Road is within planned LDA layout in Vipin Khand, but adjacent to municipal limits. Definite maintenance handover unevidenced; authority_id marked NEEDS_REVIEW between AUTH-LDA and AUTH-LMC. Asset-level authority must not overwrite incident-level uncertainty."
